JobID,JobName,Start,End,Elapsed,ReqMem,MaxRSS,ReqCPUS,NCPUS,CPUTime,CPUTimeRAW,Partition,ExitCode,State
4258358,abyss-short_BS00_120_204-2_IL75x,2025-12-16T21:22:51,2025-12-16T21:48:58,00:26:07,100G,,10,10,04:21:10,15670,general,0:0,COMPLETED
4258358.batch,batch,2025-12-16T21:22:51,2025-12-16T21:48:58,00:26:07,,33774268K,10,10,04:21:10,15670,,0:0,COMPLETED
4258359,abyss-short_BS00_120_204-2_IL100x,2025-12-16T21:23:13,2025-12-16T21:57:50,00:34:37,100G,,10,10,05:46:10,20770,jrw0107_std,0:0,COMPLETED
4258359.batch,batch,2025-12-16T21:23:13,2025-12-16T21:57:50,00:34:37,,46336772K,10,10,05:46:10,20770,,0:0,COMPLETED
4258369,abyss-short_BS00_240_163-1_IL75x,2025-12-16T21:30:24,2025-12-16T21:59:05,00:28:41,100G,,10,10,04:46:50,17210,general,0:0,COMPLETED
4258369.batch,batch,2025-12-16T21:30:24,2025-12-16T21:59:05,00:28:41,,34784188K,10,10,04:46:50,17210,,0:0,COMPLETED
4258370,abyss-short_BS00_240_163-1_IL100x,2025-12-16T21:31:07,2025-12-16T22:09:19,00:38:12,100G,,10,10,06:22:00,22920,general,0:0,COMPLETED
4258370.batch,batch,2025-12-16T21:31:07,2025-12-16T22:09:19,00:38:12,,46230308K,10,10,06:22:00,22920,,0:0,COMPLETED
4258380,abyss-short_BS00_240_165-2_IL75x,2025-12-16T21:37:56,2025-12-16T21:54:56,00:17:00,100G,,10,10,02:50:00,10200,general,0:0,COMPLETED
4258380.batch,batch,2025-12-16T21:37:56,2025-12-16T21:54:56,00:17:00,,28040328K,10,10,02:50:00,10200,,0:0,COMPLETED
4258381,abyss-short_BS00_240_165-2_IL100x,2025-12-16T21:37:56,2025-12-16T21:59:48,00:21:52,100G,,10,10,03:38:40,13120,general,0:0,COMPLETED
4258381.batch,batch,2025-12-16T21:37:56,2025-12-16T21:59:48,00:21:52,,33452008K,10,10,03:38:40,13120,,0:0,COMPLETED
4258391,abyss-short_BS00_240_177-2_IL75x,2025-12-16T21:43:57,2025-12-16T21:59:34,00:15:37,100G,,10,10,02:36:10,9370,general,0:0,COMPLETED
4258391.batch,batch,2025-12-16T21:43:57,2025-12-16T21:59:34,00:15:37,,22081988K,10,10,02:36:10,9370,,0:0,COMPLETED
