sample	technology	min_bp	max_bp	mean_bp	min_fit	max_fit	mean_fit	min_error_rate	max_error_rate	mean_error_rate	total_bases	mean_length	depth
BS00_120_204-2	chopper	265591	290043	277817	72.8016	87.0711	79.93635	14.5103	14.5103	14.5103	499230780	3006.1104822004900	1796.9770748370300
BS00_120_204-2	np	2377737	2583211	2480474	29.5021	31.5328	30.51745	9.55813	9.55813	9.55813	645848117	1384.594197057370	260.37286300924700
BS00_120_204-2	illumina	38070359	38287555	38178957	97.2844	97.2844	97.2844	0.87427	0.87427	0.87427	10080338957	127	264.02866262166400
BS00_240_163-1	chopper	49943969	49987685	49965827	97.9688	99.4912	98.73	0.648081	0.648081	0.648081	1387847810	1636.3119638368400	27.775939943914100
BS00_240_163-1	np	24202742	24234194	24218468	97.5896	97.5896	97.5896	0.78798	0.78798	0.78798	3786127883	697.1594351247480	156.3322619333310
BS00_240_163-1	illumina	46052882	46191734	46122308	97.3467	97.3467	97.3467	0.680853	0.680853	0.680853	11859910529	126	257.1404390474130
BS00_240_165-2	chopper	35271174	35327746	35299460	93.8636	97.6547	95.75915	0.87534	0.87534	0.87534	1922575743	3066.8519355101100	54.4647352395759
BS00_240_165-2	np	35242151	35293130	35267640.5	94.3466	97.4318	95.88920000000000	0.969722	0.969722	0.969722	2394024490	1458.9952720260900	67.8816177112841
BS00_240_165-2	illumina	26902633	28425108	27663870.5	98.6946	98.6946	98.6946	0.78704	0.78704	0.78704	12309719572	127	444.97459500470100
BS00_240_177-2	chopper	14085445	14107460	14096452.5	98.4396	99.0835	98.76155	2.41901	2.41901	2.41901	1264450430	2178.029086311550	89.69990357503070
BS00_240_177-2	np	28892254	28906528	28899391	98.53	99.3716	98.9508	2.33493	2.33493	2.33493	2179543643	827.1459512405420	75.41832431693800
BS00_240_177-2	illumina	27195257	27239231	27217244	97.532	97.532	97.532	0.542242	0.542242	0.542242	4189339409	126	153.9222490344720
BS01_120_013-2	chopper	5546772	5853708	5700240	47.5241	52.8898	50.20695	5.73586	5.73586	5.73586	680435728	2564.2951874882200	119.369663031732
BS01_120_013-2	np	36496424	36901029	36698726.5	91.889	98.7233	95.30615	1.80245	1.80245	1.80245	1532716604	625.8645424443610	41.76484445584240
BS01_120_013-2	illumina	48297364	48516587	48406975.5	96.4771	96.4771	96.4771	0.645712	0.645712	0.645712	9631772304	127	198.97488336159300
BS01_360_046-X	illumina	25835073	25945800	25890436.5	95.5829	95.8125	95.6977	0.887507	0.887507	0.887507	3735791748	127	144.2923431592200
BS02_120_076-2	chopper	40815395	41026089	40920742	94.5346	99.3846	96.9596	1.66727	1.66727	1.66727	1029934941	2039.745750426290	25.16901919813670
BS02_120_076-2	np	38746984	38782702	38764843	97.1884	98.6008	97.8946	1.5043	1.5043	1.5043	3107609373	532.8794097327190	80.165663846491
BS02_120_076-2	illumina	33076045	33252755	33164400	96.9522	96.9522	96.9522	0.931598	0.931598	0.931598	8888431560	127	268.01122770199400
BS02_240_133-2	chopper	34801437	34875797	34838617	94.8621	99.1058	96.98395	0.673025	0.673025	0.673025	943431136	2377.994162335470	27.080039830513400
BS02_240_133-2	np	34901216	34984006	34942611	95.2834	98.6613	96.97235	0.823699	0.823699	0.823699	1970243461	692.6928044439370	56.385124196929600
BS02_240_133-2	illumina	32175718	32243923	32209820.5	96.8446	96.8446	96.8446	0.627019	0.627019	0.627019	4816217304	127	149.52636274393400
BS02_240_133-4	chopper	35056919	35080113	35068516	98.7326	99.7594	99.24600000000000	0.647563	0.647563	0.647563	711441838	2149.286698709720	20.28719544334300
BS02_240_133-4	np	34951879	34984338	34968108.5	98.617	99.6023	99.10965	0.759925	0.759925	0.759925	1714875036	633.970518037868	49.04111516354970
BS02_240_133-4	illumina	33360255	33407018	33383636.5	98.2195	98.2195	98.2195	0.59106	0.59106	0.59106	5216724981	127	156.2659292974270
BS02_240_140-5	chopper	48244007	195451137	121847572	58.1172	59.0975	58.60735	0.600694	0.600694	0.600694	1337169740	2063.068722170620	10.974118876985100
BS02_240_140-5	np	66873410	76491469	71682439.5	64.4892	93.9665	79.22785000000000	0.833365	0.833365	0.833365	2438565772	763.4967212950510	34.01901203432120
BS02_240_140-5	illumina	66761084	67250079	67005581.5	91.2522	97.6123	94.43225000000000	0.942189	0.942189	0.942189	8307589557	127	123.98354541554100
BS04_120_524-1	chopper	45459	46395	45927	70.002	70.002	70.002	14.4591	14.4591	14.4591	201440461	5255.014243602120	4386.1010081215800
BS04_120_524-1	np	54090	54817	54453.5	89.9501	89.9501	89.9501	13.5312	13.5312	13.5312	253644178	624.910204514042	4657.995868034190
BS04_120_524-1	illumina	25408585	25459199	25433892	97.4189	97.4433	97.43110000000000	0.70253	0.70253	0.70253	3018570912	127	118.68301210054700
BS05_240_246-2	chopper	17012936	18400145	17706540.5	87.9148	91.3006	89.6077	2.06397	2.06397	2.06397	1087734405	2745.8402353719300	61.43122113548950
BS05_240_246-2	np	18405298	18560885	18483091.5	92.6699	96.3597	94.51480000000000	2.32232	2.32232	2.32232	1490081704	1194.0656619969800	80.61864023126220
BS05_240_246-2	illumina	25559115	27183390	26371252.5	97.6457	97.6457	97.6457	1.72965	1.72965	1.72965	8145996041	127	308.89682016430600
BS05_240_248-5	chopper	31669342	31688569	31678955.5	98.0632	98.7464	98.4048	0.773612	0.773612	0.773612	2355362137	2781.679565534210	74.35100368129250
BS05_240_248-5	np	15721098	15733306	15727202	98.1439	98.1439	98.1439	0.927819	0.927819	0.927819	3522437304	1025.452430969590	223.9710092106660
BS05_240_248-5	illumina	30795245	30850551	30822898	97.3662	97.4152	97.39070000000000	0.678237	0.678237	0.678237	4510150106	127	146.32466116586400
BS05_360_328-3	chopper	34767703	34790697	34779200	98.2408	99.4383	98.83955	0.673524	0.673524	0.673524	1145625220	2828.1176743589000	32.93995319041270
BS05_360_328-3	np	34896226	34916912	34906569	97.8135	98.9513	98.3824	0.76645	0.76645	0.76645	1908857444	864.3203050748760	54.68476274480030
BS05_360_328-3	illumina	32602368	32659979	32631173.5	97.2849	97.4009	97.34290000000000	0.78632	0.78632	0.78632	3632577133	127	111.32229531984200
BS05_CNT_273-5	chopper	48384314	51253399	49818856.5	95.4018	98.5153	96.95855	0.747495	0.747495	0.747495	1306923816	2005.2686495485200	26.23351694152190
BS05_CNT_273-5	np	48724592	48796192	48760392	97.0056	98.7044	97.855	0.82122	0.82122	0.82122	3666884160	592.3680105999580	75.2021058403304
BS05_CNT_273-5	illumina	42174885	42301497	42238191	97.5183	97.5183	97.5183	0.861963	0.861963	0.861963	7999039850	127	189.37931906222000
BS06_120_434-1	chopper	54051319	54697733	54374526	81.4577	82.2907	81.8742	0.528378	0.528378	0.528378	2346627735	3871.8949142586500	43.15674834572350
