sample	technology	min_bp	max_bp	mean_bp	min_fit	max_fit	mean_fit	min_error_rate	max_error_rate	mean_error_rate	total_bases	mean_length	depth
BS00_120_204-2	chopperk57p1	18078	271664	144871	56.3718	0.513033	28.4424165	6.47693	6.47693	6.47693	499230780	3006.1104822004913	3446.0366809092225
BS00_120_204-2	chopperk21p1	493249	547006	520127.5	60.7865	89.7777	75.2821	14.5621	14.5621	14.5621	499230780	3006.1104822004913	959.8238508827162
BS00_120_204-2	chopperk13p1	14046590	NA	NA	78.6738	11.5966	45.1352	0	0	0	499230780	3006.1104822004913	NA
BS00_120_204-2	chopperk13	9781607	10640090	10210848.5	79.3454	93.2466	86.29599999999999	1.73993	1.73993	1.73993	499230780	3006.1104822004913	48.89219343524684
BS00_120_204-2	chopperk101	49299	52593	50946	80.6329	80.6329	80.6329	3.72924	3.72924	3.72924	499230780	3006.1104822004913	9799.214462371923
BS00_120_204-2	chopper	265591	290043	277817	72.8016	87.0711	79.93635	14.5103	14.5103	14.5103	499230780	3006.1104822004913	1796.9770748370331
BS00_120_204-2	np	2377737	2583211	2480474	29.5021	31.5328	30.51745	9.55813	9.55813	9.55813	645848117	1384.594197057367	260.37286300924745
BS00_120_204-2	illumina	38070359	38287555	38178957	97.2844	97.2844	97.2844	0.87427	0.87427	0.87427	10080338957	127	264.02866262166356
BS00_240_163-1	chopperk57p1	47828234	47955434	47891834	98.5271	99.3054	98.91625	0.56375	0.56375	0.56375	1387847810	1636.3119638368414	28.978798556764396
BS00_240_163-1	chopperk21p1	49396853	49502145	49449499	97.1736	99.1521	98.16284999999999	0.69387	0.69387	0.69387	1387847810	1636.3119638368414	28.06596301410455
BS00_240_163-1	chopperk13p1	3498394	NA	NA	80.7661	79.048	79.90705	0.00452534	0.00452534	0.00452534	1387847810	1636.3119638368414	NA
BS00_240_163-1	chopperk13	22510779	23433888	22972333.5	77.5302	88.8951	83.21265	0.162003	0.162003	0.162003	1387847810	1636.3119638368414	60.41388046190431
BS00_240_163-1	chopperk101	23435262	23543126	23489194	97.9647	98.5217	98.2432	0.456679	0.456679	0.456679	1387847810	1636.3119638368414	59.08452244040387
BS00_240_163-1	chopper	49943969	49987685	49965827	97.9688	99.4912	98.73	0.648081	0.648081	0.648081	1387847810	1636.3119638368414	27.775939943914068
BS00_240_163-1	np	24202742	24234194	24218468	97.5896	97.5896	97.5896	0.78798	0.78798	0.78798	3786127883	697.1594351247479	156.3322619333312
BS00_240_163-1	illumina	46052882	46191734	46122308	97.3467	97.3467	97.3467	0.680853	0.680853	0.680853	11859910529	126	257.1404390474128
BS00_240_165-2	chopperk57p1	34914731	34963378	34939054.5	95.2469	97.2384	96.24265	0.564354	0.564354	0.564354	1922575743	3066.8519355101143	55.02655325146249
BS00_240_165-2	chopperk21p1	34973639	35030683	35002161	93.6358	96.9843	95.31005	0.915144	0.915144	0.915144	1922575743	3066.8519355101143	54.92734414312305
BS00_240_165-2	chopperk13p1	32842963	33805634	33324298.5	59.3494	77.4655	68.40745000000001	0.379983	0.379983	0.379983	1922575743	3066.8519355101143	57.69290966470007
BS00_240_165-2	chopperk13	16836017	17007606	16921811.5	83.9491	85.0701	84.5096	0.382695	0.382695	0.382695	1922575743	3066.8519355101143	113.61524402987233
BS00_240_165-2	chopperk101	17328433	17351363	17339898	96.397	96.8593	96.62815	0.441718	0.441718	0.441718	1922575743	3066.8519355101143	110.87583923504049
BS00_240_165-2	chopper	35271174	35327746	35299460	93.8636	97.6547	95.75915	0.87534	0.87534	0.87534	1922575743	3066.8519355101143	54.4647352395759
BS00_240_165-2	np	35242151	35293130	35267640.5	94.3466	97.4318	95.88919999999999	0.969722	0.969722	0.969722	2394024490	1458.9952720260935	67.8816177112841
BS00_240_165-2	illumina	26902633	28425108	27663870.5	98.6946	98.6946	98.6946	0.78704	0.78704	0.78704	12309719572	127	444.97459500470114
BS00_240_177-2	chopperk57p1	28612531	28804861	28708696	98.3961	99.2537	98.8249	1.38353	1.38353	1.38353	1264450430	2178.029086311554	44.044161044444515
BS00_240_177-2	chopperk21p1	28171443	28215516	28193479.5	98.4365	99.5508	98.99365	2.41894	2.41894	2.41894	1264450430	2178.029086311554	44.849037877712114
BS00_240_177-2	chopperk13p1	21086245	33652866	27369555.5	83.5377	85.9008	84.71925	0.520637	0.520637	0.520637	1264450430	2178.029086311554	46.19915840430803
