Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# total reads	# left	# right	Mapped (%)	Properly paired (%)	Avg. coverage depth	Coverage >= 1x (%)	# N's per 100 kbp	Reference length	Reference GC (%)	NG50	NG90	auNG	LG50	LG90	Reference mapped (%)	Reference properly paired (%)	Reference avg. coverage depth	Reference coverage >= 1x (%)	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# structural variations	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90	busco_complete	busco_single_copy	busco_multi_copy	busco_fragmented	busco_missing_busco	busco_avg_identity	busco_stop_codon
abyss_short_BS14_CNT_162-4_IL10x	34245	469	8	2	0	0	8913486	771186	65200	24361	0	0	34245	13791	8913486	46.46	251	168	483.8	9985	27930	1709354	854677	854677	65.99	33.29	14	99.09	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.3	1.3	0	19	79.7	0.82	0
abyss_short_BS14_CNT_162-4_IL15x	59525	1070	10	2	0	0	16689940	1804457	65342	21122	0	0	59525	10943	16689940	46.07	286	170	521.9	16150	47671	2563804	1281902	1281902	80.74	41.52	14	99.05	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.4	3.4	0	33.1	63.5	0.81	23.1
abyss_short_BS00_120_204-2_IL10x	48	8	2	0	0	0	41475	34425	14352	0	0	0	48	7208	41475	30.92	4606	163	4282.5	4	20	3005280	1502640	1502640	7.63	7.05	693	99.29	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	100	NA	0
abyss_short_BS00_120_204-2_IL15x	82677	5485	0	0	0	0	36206250	7487776	0	0	0	0	82677	4285	36206250	52.09	556	211	689.7	20057	62165	4507498	2253749	2253749	94.92	65.58	13	99.78	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.1	9.1	0	48.5	42.3	NA	11.6
abyss_short_BS00_120_204-2_IL20x	65255	11605	38	0	0	0	40595189	19088996	217901	0	0	0	65255	7692	40595189	52.21	938	271	1189.9	12854	43852	6008516	3004258	3004258	98.15	75.81	17	99.69	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.8	22.8	0	45	32.2	NA	15
abyss_short_BS00_120_204-2_IL25x	55176	12720	134	1	0	0	40379789	22701923	793053	11153	0	0	55176	11153	40379789	52.24	1149	319	1475.1	10373	35912	7508168	3754084	3754084	98.23	78.23	22	99.85	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29.2	29.2	0	42.6	28.2	NA	15.4
abyss_short_BS00_120_204-2_IL30x	43841	13777	510	22	0	0	41761567	29471611	3282708	260388	0	0	43841	20270	41761567	52.27	1684	420	2196.0	7167	25856	9005568	4502784	4502784	98.81	82.69	26	99.83	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44.3	44.3	0	33.9	21.8	NA	16.7
abyss_short_BS00_120_204-2_IL35x	36833	13444	929	61	1	0	42044200	32717345	6307393	757411	30482	0	36833	30482	42044200	52.27	2189	522	2845.0	5552	20371	10506894	5253447	5253447	98.83	84.74	30	99.83	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51.7	51.6	0.1	29.9	18.3	NA	16.8
abyss_short_BS00_120_204-2_IL40x	31027	12390	1557	196	2	0	42649130	35767097	11462645	2486002	58539	0	31027	30482	42649130	52.26	2951	664	3856.7	4141	15579	12007706	6003853	6003853	99.0	86.75	34	99.81	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	61.5	61.3	0.1	23.7	14.8	NA	17.2
abyss_short_BS00_120_204-2_IL50x	23432	9971	2443	593	13	0	43221530	39044146	20734409	8182278	390592	0	23432	47213	43221530	52.26	4763	1032	6157.7	2623	9829	15009310	7504655	7504655	99.1	88.94	43	99.8	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.7	73.6	0.1	17.2	9.1	NA	20
abyss_short_BS00_120_204-2_IL60x	19319	8117	2881	922	44	3	43506079	40535190	27368926	13712372	1425596	199344	19319	90185	43506079	52.25	6722	1445	8600.8	1910	6976	18014930	9007465	9007465	99.13	89.97	51	99.81	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	81.4	81.3	0.1	11.7	6.9	NA	22
abyss_short_BS00_120_204-2_ILOG	17480	2504	1885	1347	552	136	44959215	42773469	41048372	37124863	24218869	9894629	17480	169542	44959215	51.89	27429	5777	34834.6	486	1777	79293122	39646561	39646561	99.18	91.54	220	99.73	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.6	97.5	0.1	1.6	0.8	NA	26.9
spades_short_BS00_120_204-2_IL10x	17294	8252	2611	897	46	3	42274100	39114522	25563137	13561101	1462487	159009	17294	56638	42274100	53.18	6546	1272	8545.9	1836	7307	3005280	1502640	1502640	99.36	94.25	8	99.57	24.94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	81.8	81.7	0.1	10.4	7.8	NA	20.6
spades_short_BS00_120_204-2_IL15x	10226	4602	2269	1309	344	55	42925949	41542657	35802417	28952669	13640879	3882602	10226	188378	42925949	52.99	16666	3002	22922.1	728	2997	4507498	2253749	2253749	99.69	95.32	13	99.62	14.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93.5	93.4	0.1	4.2	2.2	NA	25
spades_short_BS00_120_204-2_IL20x	7733	3164	1823	1210	498	141	43123637	42248972	38822274	34447104	23135266	10705006	7733	355826	43123637	52.93	27577	5010	39483.4	439	1821	6008516	3004258	3004258	99.65	95.34	17	99.67	12.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.9	97.8	0.1	1.1	1.1	NA	27.2
spades_short_BS00_120_204-2_IL25x	6146	2295	1519	1068	545	208	43209305	42556800	40593894	37299095	28982570	16950622	6146	315609	43209305	52.89	40070	7706	52714.8	314	1250	7508168	3754084	3754084	99.7	95.55	21	99.75	11.46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.5	98.4	0.1	0.8	0.7	NA	26.5
spades_short_BS00_120_204-2_IL30x	5186	1833	1297	953	530	250	43236037	42662388	41303710	38792735	31815517	21847738	5186	356434	43236037	52.88	50686	9771	67047.1	246	966	9005568	4502784	4502784	99.59	95.9	26	99.78	10.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.9	98.8	0.1	0.5	0.5	NA	27.6
spades_short_BS00_120_204-2_IL35x	4773	1598	1169	884	530	260	43269628	42739122	41601804	39512117	33660702	24061484	4773	357991	43269628	52.88	56763	11783	75118.6	215	832	10506894	5253447	5253447	99.57	96.04	30	99.81	9.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.8	98.7	0.1	0.7	0.5	NA	27.6
spades_short_BS00_120_204-2_IL40x	4406	1380	1047	832	510	272	43301493	42807051	41923691	40355378	35091067	26598170	4406	392233	43301493	52.88	66707	13983	86281.9	187	716	12007706	6003853	6003853	99.47	96.19	34	99.83	8.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	99.1	98.9	0.1	0.4	0.5	NA	27.8
spades_short_BS00_120_204-2_IL50x	3842	1204	913	729	469	270	43317715	42828750	42056746	40674065	36432259	29332537	3842	450451	43317715	52.91	82372	16074	106914.5	152	598	15009310	7504655	7504655	99.47	96.06	43	99.9	7.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	99.2	99.1	0.1	0.3	0.5	NA	28.2
